datetime,headline,author_name,author_image,author_twitter,content_html
06/02/17 12:58 PM EDT,Millennials Owe Over $1 TRILLION In Student Loans. That’s Bad News For Housing,n/a,n/a,n/a,"b'<div itemprop=""articleBody"" style=""clear:both"">\n<p/><div class=""video-container-wrapper"">\n  <div class=""video-container"">\n    <iframe class=""youtube-player"" type=""text/html"" height=""540"" width=""960"" src=""//www.youtube.com/embed/RXJHfQWodDg?rel=0&amp;showinfo=0&amp;modestbranding=1&amp;controls=2"" frameborder=""0"" allowfullscreen="""">\n    </iframe>\n  </div>\n</div>\n&#13;\n&#13;\n<p>In this excerpt from a recent institutional Housing research call, Housing analyst <a href=""https://app.hedgeye.com/world/team#josh-steiner"" target=""_blank""><b>Josh Steiner</b></a> explains how the $1.438 trillion in U.S. student loan debt&#8212;mostly held by millennials (the generational term coined by our own <a href=""https://app.hedgeye.com/world/team#neil-howe"" target=""_blank""><b>Neil Howe</b></a>)&#8212;is a weighty &#8220;foregone opportunity&#8221; for America&#8217;s housing market.</p>\n</div>\n'"
06/02/17 11:31 AM EDT,68 Words On the May Jobs Report,Keith McCullough,https://s3.amazonaws.com/hedgeye/author_metadata/headshots/1/thumbnail/headshot_mccullough.png?1415316512,@keithmccullough,"b'<div itemprop=""articleBody"" style=""clear:both"">\n&#13;\n<p><em>Editor\'s Note: Instead of freaking out about headlines from Business Insider saying ""Jobs Miss Big"" read the simply put May Jobs Report analysis below written by Hedgeye CEO Keith McCullough. </em><em>Spoiler alert! The U.S. labor market is actually growing.</em></p>&#13;\n&#13;\n<p><a href=""https://d1yhils6iwh5l5.cloudfront.net/charts/resized/48240/large/help_wanted_images.jpg"" rel=""popover""><img alt=""68 Words On the May Jobs Report - help wanted images"" class=""img-responsive"" sizes=""(max-width: 768px) 100vw, 75vw"" src=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48240/normal/help_wanted_images.jpg"" srcset=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48240/lead/help_wanted_images.jpg 330w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48240/medium/help_wanted_images.jpg 390w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48240/normal/help_wanted_images.jpg 600w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48240/large/help_wanted_images.jpg 900w""/></a></p>&#13;\n&#13;\n<p>We love that the mainstream media doesn\'t measure and map economic data in rate of change terms - that\'s how we win.&#160;</p>&#13;\n&#13;\n<p>For your politically biased friends who aren\'t mathematically inclined, the headline +138,000 jobs created in May amounted to a +7 basis points acceleration in year-over-year jobs growth to 1.58%.&#160;Private sector jobs growth of +147,000 amounted to year-over-year jobs growth up +11 basis points for an acceleration to +1.77%.</p>&#13;\n&#13;\n<p><a href=""https://d1yhils6iwh5l5.cloudfront.net/charts/resized/48240/large/nfp_6_2_17.png"" rel=""popover""><img alt=""68 Words On the May Jobs Report - nfp 6 2 17"" class=""img-responsive"" sizes=""(max-width: 768px) 100vw, 75vw"" src=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48240/normal/nfp_6_2_17.png"" srcset=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48240/lead/nfp_6_2_17.png 330w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48240/medium/nfp_6_2_17.png 390w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48240/normal/nfp_6_2_17.png 600w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48240/large/nfp_6_2_17.png 900w""/></a></p>\n</div>\n'"
06/02/17 07:38 AM EDT,Some Brief Pre-Jobs Report Analysis,n/a,n/a,n/a,"b'<div itemprop=""articleBody"" style=""clear:both"">\n<p>Want a quick pre-Jobs Report read-through on the U.S. economy? Initial claims, the number of people filing for state benefits, just hit the lowest level in decades. Put another way, the U.S. labor market looks pretty healthy.</p>&#13;\n&#13;\n<p>Below is analysis from Hedgeye U.S. Macro analyst Christian Drake in today\'s <a href=""https://accounts.hedgeye.com/products/morning-newsletter/18"" target=""_blank""><em><strong>Early Look</strong></em></a>:</p>&#13;\n&#13;\n<ul>&#13;\n<li>""Initial Claims printed 233K during the May employment survey week, the lowest level in decades.&#160; So, the separations side of the employment equation is as supportive of net hiring as it&#8217;s ever been.</li>&#13;\n<li>As can be seen in the&#160;<em><b>Chart of the Day</b></em>&#160;below, from a cycle perspective, Initial Jobless Claims have been the most consistent, lead labor market indicator for the economic cycle.&#160; While total employment peaks coincident to the end of the cycle (which, of course, is not surprising &#8211; how do you think economists retrospectively pick when the cycle peaked/recession started?), peak improvement in initial claims occurs ~7 months ahead of the economic cycle peak.&#160; As it stands, we&#8217;re still putting in the trough in Initial Claims.""</li>&#13;\n</ul>&#13;\n&#13;\n<p><a href=""https://d1yhils6iwh5l5.cloudfront.net/charts/resized/48233/large/6_2_17_CoD_Initial_Claims.png"" rel=""popover""><img alt=""Some Brief Pre-Jobs Report Analysis - 6 2 17 CoD Initial Claims"" class=""img-responsive"" sizes=""(max-width: 768px) 100vw, 75vw"" src=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48233/normal/6_2_17_CoD_Initial_Claims.png"" srcset=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48233/lead/6_2_17_CoD_Initial_Claims.png 330w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48233/medium/6_2_17_CoD_Initial_Claims.png 390w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48233/normal/6_2_17_CoD_Initial_Claims.png 600w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48233/large/6_2_17_CoD_Initial_Claims.png 900w""/></a></p>\n</div>\n'"
06/01/17 04:41 PM EDT,Cartoon of the Day: Mayday!,n/a,n/a,n/a,"b'<div itemprop=""articleBody"" style=""clear:both"">\n<p><a href=""https://d1yhils6iwh5l5.cloudfront.net/charts/resized/48221/large/06.01.2017_bears_on_plane_cartoon.png"" rel=""popover""><img alt=""Cartoon of the Day: Mayday! - 06.01.2017 bears on plane cartoon"" class=""img-responsive"" sizes=""(max-width: 768px) 100vw, 75vw"" src=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48221/normal/06.01.2017_bears_on_plane_cartoon.png"" srcset=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48221/lead/06.01.2017_bears_on_plane_cartoon.png 330w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48221/medium/06.01.2017_bears_on_plane_cartoon.png 390w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48221/normal/06.01.2017_bears_on_plane_cartoon.png 600w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48221/large/06.01.2017_bears_on_plane_cartoon.png 900w""/></a></p>&#13;\n&#13;\n<p>Are you on the right side of U.S. growth and reflation? To sum up the S&amp;P 500 sectors\' leaders versus laggards for the month of May, <strong>Energy</strong> (XLE) stocks (i.e. Reflation) were down -3.5% versus <strong>Tech</strong> (XLK) stocks up +3.9% (i.e. U.S. growth accelerating exposure).</p>&#13;\n&#13;\n&#13;\n<p><a href=""https://www.hedgeye.com/cartoon/email""><strong>Click here</strong></a>&#160;to receive our daily cartoon for free.</p>\n</div>\n'"
06/01/17 01:26 PM EDT,Daniel Lacalle Answers the Hedgeye 21,n/a,n/a,n/a,"b'<div itemprop=""articleBody"" style=""clear:both"">\n<p>The outspoken London-based economist, portfolio manager and bestselling author <a href=""https://twitter.com/dlacalle_IA"" target=""_blank""><strong>Daniel Lacalle</strong></a> dishes on central bank insanity, his favorite TV show and big risks to the European Union experiment.</p>&#13;\n<p><a href=""https://d1yhils6iwh5l5.cloudfront.net/charts/resized/48217/large/HE_21_questionnaire_daniel_JUNE17.jpg"" rel=""popover""><img alt=""Daniel Lacalle Answers the Hedgeye 21 - HE 21 questionnaire daniel JUNE17"" class=""img-responsive"" sizes=""(max-width: 768px) 100vw, 75vw"" src=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48217/normal/HE_21_questionnaire_daniel_JUNE17.jpg"" srcset=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48217/lead/HE_21_questionnaire_daniel_JUNE17.jpg 330w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48217/medium/HE_21_questionnaire_daniel_JUNE17.jpg 390w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48217/normal/HE_21_questionnaire_daniel_JUNE17.jpg 600w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48217/large/HE_21_questionnaire_daniel_JUNE17.jpg 900w""/></a></p>\n</div>\n'"
06/01/17 12:18 PM EDT,7 Must-Read Books For Your Summer Reading List,n/a,n/a,n/a,"b'<div itemprop=""articleBody"" style=""clear:both"">\n&#13;\n<p>For your reading pleasure, below is a list of books that come highly-recommended by our CEO Keith McCullough across a variety of topics, from markets to behavioral economics and leadership.</p>&#13;\n&#13;\n<p><em>Enjoy!</em></p>&#13;\n&#13;\n<h3><span style=""color: #000000;"">On Markets...</span></h3>&#13;\n<h4><span style=""color: #339ef3;""><span style=""color: #252729;"">1.&#160;</span><a href=""https://www.amazon.com/Misbehavior-Markets-Fractal-Financial-Turbulence/dp/0465043577/ref=sr_1_1?s=books&amp;ie=UTF8&amp;qid=1496328431&amp;sr=1-1&amp;keywords=misbehavior+of+markets"" target=""_blank"">THE MISBEHAVIOR OF MARKETS: A FRACTAL VIEW OF FINANCIAL TURBULENCE</a></span></h4>&#13;\n<p><em>by&#160;Benoit Mandelbrot,&#160;Richard L. Hudson</em></p>&#13;\n&#13;\n<p><span style=""color: #000000;""><a href=""https://d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/large/mandel.png"" rel=""popover""><img alt=""7 Must-Read Books For Your Summer Reading List - mandel"" class=""img-responsive"" sizes=""(max-width: 768px) 100vw, 75vw"" src=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/normal/mandel.png"" srcset=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/lead/mandel.png 330w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/medium/mandel.png 390w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/normal/mandel.png 600w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/large/mandel.png 900w""/></a></span></p>&#13;\n&#13;\n<p><span style=""color: #000000;""><strong>Amazon</strong>: ""Mathematical superstar and inventor of fractal geometry, Benoit Mandelbrot, has spent the past forty years studying the underlying mathematics of space and natural patterns. What many of his followers don\'t realize is that he has also been watching patterns of market change.""</span></p>&#13;\n&#13;\n<p><span style=""color: #000000;""><strong>Hedgeye CEO Keith McCullough</strong>: ""This is one of the best books about markets I&#8217;ve ever read. In investing more broadly and macro specifically,&#160;</span>the multiple factors we have to consider across multiple durations is considerably large.&#160;That&#8217;s why I&#8217;m such a big fan of&#160;Mandelbrot. The mother of all encompassing concepts is fractal geometry. It knows no bounds. It abhors the consensus path of linearity and it embraces the uncertainty of our ever-changing ecosystem. I love that.""</p>&#13;\n<h4><br/><br/>2.&#160;<a href=""https://www.amazon.com/How-Not-Be-Wrong-Mathematical/dp/0143127535/ref=sr_1_1?s=books&amp;ie=UTF8&amp;qid=1496329014&amp;sr=1-1&amp;keywords=how+not+to+be+wrong"" target=""_blank"">How Not to Be Wrong: The Power of Mathematical Thinking</a></h4>&#13;\n<p><em>by&#160;Jordan Ellenberg</em></p>&#13;\n&#13;\n<p><a href=""https://d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/large/ellenberg.png"" rel=""popover""><img alt=""7 Must-Read Books For Your Summer Reading List - ellenberg"" class=""img-responsive"" sizes=""(max-width: 768px) 100vw, 75vw"" src=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/normal/ellenberg.png"" srcset=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/lead/ellenberg.png 330w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/medium/ellenberg.png 390w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/normal/ellenberg.png 600w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/large/ellenberg.png 900w""/></a></p>&#13;\n&#13;\n<p><strong>Amazon</strong>: ""The&#160;<i>Freakonomics</i>&#160;of math&#8212;a math-world superstar unveils the hidden beauty and logic of the world and puts its power in our hands. <i>How Not to Be Wrong</i>&#160;presents the surprising revelations behind all of these questions and many more, using the mathematician&#8217;s method of analyzing life and exposing the hard-won insights of the academic community to the layman&#8212;minus the jargon.""</p>&#13;\n&#13;\n<p><strong>McCullough</strong>: ""If you&#8217;re looking to improve your decision making process (i.e. improving your ability to change your mind, positioning, etc.), read Ellenberg&#8217;s book.&#160;I can&#8217;t stress how important using a rigorous, data dependent, Bayesian overlay is to our process.""</p>&#13;\n<h4><br/><br/>3.&#160;<a href=""https://www.amazon.com/Adaptive-Markets-Financial-Evolution-Thought/dp/0691135142/ref=sr_1_1?s=books&amp;ie=UTF8&amp;qid=1496329514&amp;sr=1-1&amp;keywords=adaptive+markets"" target=""_blank"">Adaptive Markets: Financial Evolution at the Speed of Thought</a></h4>&#13;\n<p><em>by&#160;Andrew W. Lo</em></p>&#13;\n&#13;\n<p><a href=""https://d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/large/lo_mkts.png"" rel=""popover""><img alt=""7 Must-Read Books For Your Summer Reading List - lo mkts"" class=""img-responsive"" sizes=""(max-width: 768px) 100vw, 75vw"" src=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/normal/lo_mkts.png"" srcset=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/lead/lo_mkts.png 330w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/medium/lo_mkts.png 390w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/normal/lo_mkts.png 600w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/large/lo_mkts.png 900w""/></a></p>&#13;\n&#13;\n<p><strong>Amazon</strong>: ""A fascinating intellectual journey filled with compelling stories,&#160;<i>Adaptive Markets</i>&#160;starts with the origins of market efficiency and its failures, turns to the foundations of investor behavior, and concludes with practical implications--including how hedge funds have become the Gal&#225;pagos Islands of finance, what really happened in the 2008 meltdown, and how we might avoid future crises.""</p>&#13;\n&#13;\n<p><strong>Hedgeye Senior Macro Analyst Darius Dale</strong>: ""The overarching message of Lo&#8217;s book, from the introduction to the chapter I couldn&#8217;t wait to skip ahead to roughly 300 pages later, is that an overreliance on either classical economics and complex financial models (e.g. Fama&#8217;s Efficient Market Hypothesis, Black-Scholes-Merton Model) has led to misguided views among investors, academics and policymakers about how financial markets&#160;<i>actually</i>&#160;work.""</p>&#13;\n<h3><span style=""color: #252729;"">On Behavioral Economics, Investor Psychology...</span>&#160;&#160;</h3>&#13;\n<h4>4.&#160;<a href=""https://www.amazon.com/Messy-Power-Disorder-Transform-Lives/dp/1594634793/ref=sr_1_1?s=books&amp;ie=UTF8&amp;qid=1496329865&amp;sr=1-1&amp;keywords=messy"" target=""_blank"">Messy: The Power of Disorder to Transform Our Lives</a></h4>&#13;\n<p><em>by&#160;Tim Harford</em></p>&#13;\n&#13;\n<p><em><a href=""https://d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/large/messy.png"" rel=""popover""><img alt=""7 Must-Read Books For Your Summer Reading List - messy"" class=""img-responsive"" sizes=""(max-width: 768px) 100vw, 75vw"" src=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/normal/messy.png"" srcset=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/lead/messy.png 330w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/medium/messy.png 390w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/normal/messy.png 600w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/large/messy.png 900w""/></a></em></p>&#13;\n&#13;\n<p><strong>Amazon</strong>: ""For those who think that a spick-and-span desk is an indication of high productivity, Harford\'s fascinating investigation of how disorder can spark innovation will open your eyes to all kinds of situations when tidiness is not a virtue.""</p>&#13;\n&#13;\n<p><strong>McCullough</strong>: ""In Tim Harford\'s book <em>Messy</em>, he discusses the dangers of shutting your mind to new ideas:</p>&#13;\n&#13;\n<p style=""padding-left: 30px;""><em>\'The idea is to keep opening up new conversational possibilities rather than shut them down... [otherwise] the pattern repeats endlessly. We gain new choices about whom to listen to, whom to trust, and whom to befriend &#8211; and we use those choices to tighten the circle around us to people who are more and more like us.\'&#160;</em></p>&#13;\n&#13;\n<p>I humbly suggest that you don&#8217;t do that. For market practitioners, having the mental flexibility to change your mind is critical.""</p>&#13;\n<h4><br/><br/>5.&#160;<a href=""https://www.amazon.com/Hooked-How-Build-Habit-Forming-Products/dp/1591847788/ref=sr_1_1?s=books&amp;ie=UTF8&amp;qid=1496330917&amp;sr=1-1&amp;keywords=hooked"" target=""_blank"">Hooked: How to Build Habit-Forming Products</a></h4>&#13;\n<p><em>by&#160;Nir Eyal</em></p>&#13;\n&#13;\n<p><a href=""https://d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/large/hooked.png"" rel=""popover""><img alt=""7 Must-Read Books For Your Summer Reading List - hooked"" class=""img-responsive"" sizes=""(max-width: 768px) 100vw, 75vw"" src=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/normal/hooked.png"" srcset=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/lead/hooked.png 330w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/medium/hooked.png 390w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/normal/hooked.png 600w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/large/hooked.png 900w""/></a></p>&#13;\n&#13;\n<p><strong>Amazon</strong>: ""Why do some products capture widespread attention while others flop? What makes us engage with certain products out of sheer habit? Is there a pattern underlying how technologies hook us?&#160;Nir Eyal answers these questions (and many more) by explaining the Hook Model&#8212;a four-step process embedded into the products of many successful companies to subtly encourage customer behavior.""</p>&#13;\n&#13;\n<p><strong>McCullough</strong>: ""At a recent Hedgeye offsite meeting, I focused our senior leadership team on some of the learnings from Nir Eyal&#8217;s&#160;<b><i><span style=""text-decoration: underline;"">Hooked&#160;</span></i></b>book that I&#8217;ve cited in recent Early Looks. One of the behavioral models he considers is the&#160;<b><i>Fogg Behavior Model</i></b><i>.&#160;</i>The formula for Fogg is&#160;B = MAT:&#160;</p>&#13;\n&#13;\n<p style=""padding-left: 30px;""><i>&#8220;... which represents that a given behavior will occur when motivation (M), ability (A), and a trigger (T) are present at the same time&#8230; Fogg states that all humans are motivated to seek pleasure and avoid pain; to seek hope and avoid fear; and finally, to seek social acceptance and avoid rejection.&#8221;&#160;</i></p>&#13;\n&#13;\n<p>Sound familiar? The&#160;<i>polarizing, partisan, and political</i>&#160;media is perpetually trying to tap into our predictable behavior. As you glance or glare at the latest Trump headlines this morning, I encourage you to emphasize repeatable investment&#160;<b><i>#process</i></b>&#160;over politics.""</p>&#13;\n<h3><span style=""color: #252729;"">On Leadership...</span></h3>&#13;\n<h4>6.&#160;<a href=""https://www.amazon.com/American-Ulysses-Life-S-Grant/dp/0812981251/ref=sr_1_1?s=books&amp;ie=UTF8&amp;qid=1496331310&amp;sr=1-1&amp;keywords=American+ulysses"" target=""_blank"">American Ulysses: A Life of Ulysses S. Grant</a></h4>&#13;\n<p><em>by&#160;Ronald C. White</em></p>&#13;\n&#13;\n<p><a href=""https://d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/large/ulysses.png"" rel=""popover""><img alt=""7 Must-Read Books For Your Summer Reading List - ulysses"" class=""img-responsive"" sizes=""(max-width: 768px) 100vw, 75vw"" src=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/normal/ulysses.png"" srcset=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/lead/ulysses.png 330w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/medium/ulysses.png 390w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/normal/ulysses.png 600w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/large/ulysses.png 900w""/></a></p>&#13;\n&#13;\n<p><strong>Amazon</strong>: ""In his time, Ulysses S. Grant was routinely grouped with George Washington and Abraham Lincoln in the &#8220;Trinity of Great American Leaders.&#8221; But the battlefield commander&#8211;turned&#8211;commander-in-chief fell out of favor in the twentieth century. In&#160;<i>American Ulysses,</i>&#160;Ronald C. White argues that we need to once more revise our estimates of him in the twenty-first.""</p>&#13;\n&#13;\n<p><strong>McCullough</strong>: ""If you&#8217;re into having an ongoing education about&#160;<strong><em>US History</em></strong>&#160;(published in 2016), I highly recommend this book. It&#8217;s decorated with leadership lessons in American life. As Grant said:</p>&#13;\n&#13;\n<p style=""padding-left: 30px;""><em>\'Our business here is prosperous and I have every reason to hope to be entirely above the frowns of the world.\'&#160;In our profession, the frowns of the world are manifest.\'</em></p>&#13;\n&#13;\n<p>For the last 9 years I&#8217;ve thought that was a tremendous opportunity and I\'ve built my business around that. There&#8217;s a better way. In fact there&#8217;s a way better way. So let&#8217;s embrace that opportunity.""</p>&#13;\n<h4><br/><br/>7.&#160;<a href=""https://www.amazon.com/Mandelas-Way-Lessons-Life-Courage/dp/0307460681/ref=sr_1_1?s=books&amp;ie=UTF8&amp;qid=1496331808&amp;sr=1-1&amp;keywords=mandela%27s+way"" target=""_blank"">Mandela\'s Way: Lessons on Life, Love, and Courage</a></h4>&#13;\n<p><em>by&#160;Richard Stengel</em></p>&#13;\n&#13;\n<p><a href=""https://d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/large/mandela.png"" rel=""popover""><img alt=""7 Must-Read Books For Your Summer Reading List - mandela"" class=""img-responsive"" sizes=""(max-width: 768px) 100vw, 75vw"" src=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/normal/mandela.png"" srcset=""//d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/lead/mandela.png 330w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/medium/mandela.png 390w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/normal/mandela.png 600w, //d1yhils6iwh5l5.cloudfront.net/charts/resized/48215/large/mandela.png 900w""/></a></p>&#13;\n&#13;\n<p><strong>Amazon</strong>: ""A compact, profoundly inspiring book that captures the spirit of Nelson Mandela, distilling the South African leader&#8217;s wisdom into 15 vital life lessons.""</p>&#13;\n<p><br/><strong>McCullough</strong>: ""I don&#8217;t think the opportunity to lead in this business has ever been better. As Mandela taught many, that doesn&#8217;t always mean leading from the front. Sometimes the opportunity to &#8220;lead from the back&#8221; of a movement is as powerful as any:&#160;&#8220;The way to do that is by empowering or pushing others to move forward ahead of you.&#8221;&#160;Autobiographer, Richard Stengel, asked Mandela how prison changed him.</p>&#13;\n&#13;\n<p style=""padding-left: 30px;"">&#8220;<em>How was the man who came out in 1990 different from the man who entered in 1962?&#160;</em><em>Emotional? Passionate? Sensitive? Quickly Stung? The Nelson Mandela who emerged from prison is none of those things&#8230; time and again the words I heard him use to praise others were balanced, measured, and controlled.""</em></p>&#13;\n&#13;\n<p>When it comes to running your (or other people&#8217;s) money, how would you describe yourself? I know how I used to be. And it was me, but it was not good. Playing this game with the emotion I had on the ice didn&#8217;t work. Becoming measured did.""</p>\n</div>\n'"
